ateneo	gruppo	codice	nome
70001	14	0420106204900002	assistenza sanitaria (L/SNT4)
70001	14	0420106204800004	dietistica (L/SNT3)
70001	7	0420106203300001	digital economics and business (L-33,L-18)
70001	7	0420106201800004	economia aziendale - già economia e commercio (L-18, ex L-33)
70001	7	0420104015400002	economia e commercio (17)
70001	7	0420106201800002	economia e commercio (L-33, ex L-18)
70001	14	0420106204700002	educazione professionale (L/SNT2)
70001	9	0420106203200001	environmental sciences and civil protection - scienze ambientali e protezione civile (L-32)
70001	14	0420106204700001	fisioterapia (L/SNT2)
70001	14	0420106204800003	igiene dentale (L/SNT3)
70001	14	0420106204600001	infermieristica (L/SNT1)
70001	14	0420104050400001	infermieristica (SNT/1)
70001	12	0420106200800006	ingegneria biomedica (L-8)
70001	11	0420106200700008	ingegneria civile e ambientale (L-7)
70001	12	0420106200800015	ingegneria dell'informazione per videogame e realtà virtuale (L-8)
70001	11	0420104000100001	ingegneria delle costruzioni edili e del recupero (4)
70001	12	0420104000500002	ingegneria e gestione della produzione (10)
70001	11	0420106202300001	ingegneria edile (L-23)
70001	12	0420106200800014	ingegneria elettronica e delle tecnologie digitali - già ingegneria elettronica (L-8)
70001	12	0420106200900019	ingegneria gestionale (L-9,L-8)
70001	12	0420106200800010	ingegneria informatica e dell'automazione (L-8)
70001	12	0420106200900006	ingegneria meccanica (L-9)
70001	12	0420106200900021	ingegneria per la sostenibilità industriale (L-9)
70001	14	0420106204700003	logopedia (L/SNT2)
70001	14	0420106204600002	ostetricia (L/SNT1)
70001	9	0420106201300001	scienze biologiche (L-13)
70001	13	0420106202500003	scienze e tecnologie agrarie (L-25)
70001	13	0420106202600001	scienze e tecnologie alimentari (L-26)
70001	13	0420106202500004	scienze forestali e ambientali (L-25)
70001	13	0420106202500005	sistemi agricoli innovativi (L-25)
70001	12	0420106205600001	sistemi industriali e dell'informazione (L-P03)
70001	11	0420106202300002	tecniche della costruzione e gestione del territorio (L-23)
70001	11	0420106205400001	tecniche della costruzione e gestione del territorio (L-P01)
70001	14	0420106204900001	tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (L/SNT4)
70001	14	0420106204800002	tecniche di laboratorio biomedico (L/SNT3)
70001	14	0420106204800001	tecniche di radiologia medica, per immagini e radioterapia (L/SNT3)
70001	14	0420106204700004	terapia della neuro e psicomotricità dell'età evolutiva (L/SNT2)
70002	14	0720106204900001	assistenza sanitaria (L/SNT4)
70002	9	0720106200200002	biotecnologie industriali per lo sviluppo sostenibile - già biotecnologie industriali e agro-alimentari (L-2)
70002	9	0720106200200003	biotecnologie mediche e farmaceutiche (L-2)
70002	9	0720106202700001	chimica (L-27)
70002	8	0720106201400002	consulente del lavoro e operatore di impresa - già scienze dei servizi giuridici d'impresa (L-14)
70002	2	0720106200300001	dams - discipline dell'audiovisivo, della musica e dello spettacolo (L-3)
70002	14	0720106204800002	dietistica (L/SNT3)
70002	7	0720104015400001	economia aziendale (17)
70002	7	0720106201800006	economia aziendale - sede di Bari (L-18)
70002	7	0720104015400002	economia aziendale - sede di brindisi (17)
70002	7	0720106201800007	economia aziendale - sede di Brindisi (L-18)
70002	7	0720106201800001	economia e amministrazione delle aziende (L-18, ex L-33)
70002	7	0720106203300001	economia e commercio (L-33)
70002	7	0720104015300002	economia e commercio - sede di taranto (28)
70002	14	0720106204700005	educazione professionale (L/SNT2)
70002	1	0720104010400003	educazione professionale nel campo del disagio minorile, della devianza e della marginalità - sede di taranto (18)
70002	3	0720106200500002	filosofia (L-5)
70002	9	0720106203000004	fisica (L-30)
70002	14	0720106204700003	fisioterapia (L/SNT2)
70002	14	0720104050500004	fisioterapia (SNT/2)
70002	13	0720106202500002	gestione degli spazi verdi, dei boschi e delle aree protette - già scienze e tecnologie del territorio e dell'ambiente agro-forestale (L-25)
70002	14	0720106204800005	igiene dentale (L/SNT3)
70002	14	0720106204600003	infermieristica (L/SNT1)
70002	14	0720104050400002	infermieristica (SNT/1)
70002	10	0720104005100001	informatica (26)
70002	10	0720106203100010	informatica - sede di Bari (L-31)
70002	10	0720104005100003	informatica e comunicazione digitale (26)
70002	10	0720106203100008	informatica e comunicazione digitale - sede di Bari (L-31)
70002	10	0720104005100010	informatica e comunicazione digitale - sede di taranto (26)
70002	10	0720106203100012	informatica e tecnologie dell'informazione - già informatica e comunicazione digitale (L-31)
70002	10	0720106203100009	informatica e tecnologie per la produzione del software (L-31)
70002	3	0720106201000006	lettere (L-10)
70002	4	0720106201200001	lingue e culture per il turismo e la mediazione internazionale - già comunicazione linguistica e interculturale (L-12)
70002	4	0720104010200002	lingue e letterature straniere (11)
70002	4	0720106201100002	lingue, culture e letterature moderne - già culture delle lingue moderne e del turismo (L-11)
70002	14	0720106204700002	logopedia (L/SNT2)
70002	7	0720104015400004	marketing e comunicazione (17)
70002	7	0720106201800004	marketing e comunicazione d'azienda (L-18)
70002	9	0720104005000001	matematica (32)
70002	9	0720106203500001	matematica (L-35)
70002	14	0720106204700001	ortottica ed assistenza oftalmologica (L/SNT2)
70002	14	0720106204600002	ostetricia (L/SNT1)
70002	9	0720106203000005	scienza e tecnologia dei materiali (L-30)
70002	9	0720104002400001	scienza e tecnologia per la diagnostica e conservazione dei beni culturali (41)
70002	9	0720106203200004	scienze ambientali (L-32)
70002	13	0720106203800003	scienze animali - già scienze animali e produzioni alimentari (L-38)
70002	9	0720106201300006	scienze biologiche (L-13)
70002	2	0720106200100003	scienze dei beni culturali (L-1)
70002	8	0720106201400001	scienze dei servizi giuridici (L-14)
70002	14	0720106203900002	scienze del servizio sociale (L-39)
70002	14	0720106203900003	scienze del servizio sociale e sociologia (L-39,L-40)
70002	1	0720104010400001	scienze dell'educazione e della formazione (18)
70002	1	0720106201900007	scienze dell'educazione e della formazione (L-19)
70002	5	0720106202000004	scienze della comunicazione (L-20)
70002	1	0720106201900008	scienze della formazione (L-19)
70002	9	0720106203200001	scienze della natura (L-32)
70002	15	0720106202200002	scienze delle attività motorie e sportive (L-22)
70002	9	0720106202800001	scienze e gestione delle attività marittime (L-28)
70002	6	0720104005700001	scienze e tecniche psicologiche (34)
70002	6	0720106202400001	scienze e tecniche psicologiche (L-24)
70002	13	0720106202500001	scienze e tecnologie agrarie (L-25)
70002	13	0720106202600002	scienze e tecnologie alimentari (L-26)
70002	9	0720106202900002	scienze erboristiche e nutraceutiche - già scienze e tecnologie erboristiche e dei prodotti per la salute - già tecniche erboristiche (L-29)
70002	9	0720106203400001	scienze geologiche (L-34)
70002	8	0720106201400005	scienze giuridiche per l'immigrazione e l'interculturalità nelle pubbliche amministrazioni - già scienze giuridiche per l'immigrazione, i diritti umani e l'interculturalità (L-14)
70002	5	0720106203600002	scienze politiche - già scienze politiche relazioni internazionali e studi europei (L-36)
70002	5	0720106201600006	scienze politiche, economiche e amministrative - già scienze della amministrazione pubblica e privata (L-16)
70002	9	0720106204100001	scienze statistiche (L-41)
70002	3	0720106204200002	storia - già storia e scienze sociali (L-42)
70002	14	0720106204700004	tecnica della riabilitazione psichiatrica (L/SNT2)
70002	14	0720106204800003	tecniche audiometriche (L/SNT3)
70002	14	0720106204800004	tecniche audioprotesiche (L/SNT3)
